HRD Diffraction Histogram for 177-degree bank, RUN0000078
The original intensities and sigmas have been multiplied by 10000
TOF INT ERR
12037.43 2660.844489 35.092247
12048.40 2707.930226 35.632683
12059.38 2800.343801 36.184066
12070.35 3001.312261 37.652909
12081.33 2706.054034 35.387725
12092.30 2647.491219 34.915791
12103.28 2677.869168 35.070792
12114.25 2844.384211 36.504800
12125.23 3020.876082 37.484666
12136.21 2730.617741 35.459863
12147.18 2742.232604 35.470395
12158.16 2683.956447 35.097490
12169.13 2679.022511 35.070736
12180.11 2664.490572 34.894473
12191.08 2646.376082 34.547595
12202.06 2726.311204 35.397949
12213.03 3032.090507 37.361630
12224.01 2840.508710 36.071616
12234.98 2708.717643 35.187349
12245.96 2657.582748 35.012519
12256.93 2677.759270 35.114496
12267.91 2835.279470 36.234064
12278.88 2823.034162 35.960816
12289.86 2720.125719 35.192829
12300.83 2660.872587 34.809808
12311.81 2628.326507 34.535361
12322.78 2639.371335 34.414507
12333.76 2685.136891 35.022325
12344.73 2708.693069 35.098848
12355.71 2709.894318 35.024174
12366.68 3315.811991 39.508898
12377.66 3072.232526 37.668061
12388.63 2762.714163 35.470142
12399.61 2775.733111 35.654364
12410.58 2635.976271 34.323797
12421.56 2816.543182 35.787825
12432.53 3220.752914 38.630506
12443.51 2857.073114 36.126879
12454.48 2699.246443 34.978685
12465.46 2718.903568 35.056042
12476.43 2660.975879 34.538896
12487.41 2697.570261 34.702659
12498.39 2701.843814 34.985845
12509.36 2688.091279 34.770923
12520.34 2793.973239 35.656593
12531.31 3129.064243 37.708966
12542.29 2779.197122 35.282197
12553.26 2697.078408 34.622015
12564.24 2740.537147 34.831501
12575.21 2700.740543 34.565070
12586.19 2903.307465 36.137780
12597.16 2932.252909 36.348475
12608.14 2789.185257 35.404302
12619.11 2711.810650 34.731406
12630.09 2667.020608 34.295554
12641.06 2651.164909 34.255060
12652.04 2734.803886 34.880517
12663.01 2737.011948 34.854718
12673.99 2776.815014 35.055432
12684.96 2880.696918 35.950935
12695.94 4007.000821 43.594382
12706.91 3249.034643 38.419474
12717.89 2817.403846 35.239353
12728.86 2768.146494 34.985457
12739.84 2767.141474 35.264659
12750.81 3110.757836 37.393870
12761.79 4352.315789 45.489389
12772.76 3202.312447 38.079839
12783.74 2828.861341 35.556109
12794.71 2756.893712 34.760626
12805.69 2731.363075 34.861438
12816.66 2736.980685 34.807180
12827.64 2691.371227 34.268265
12838.61 2722.468797 34.647212
12849.59 2765.607035 34.748490
12860.57 2896.176361 35.706830
12871.54 3452.840486 39.768638
12882.52 2880.362595 35.799668
12893.49 2766.608999 34.761985
12904.47 2662.117465 34.302798
12915.44 2738.376842 34.865387
12926.42 2761.301196 34.705095
12937.39 3211.880347 37.905032
12948.37 2924.178036 36.227549
12959.34 2716.577914 34.588581
12970.32 2710.367063 34.491425
12981.29 2686.322156 34.069477
12992.27 2614.991829 33.714745
13003.24 2661.608103 34.050045
13014.22 2705.780171 34.167854
13025.19 2661.322439 33.965109
13036.17 2719.862758 34.505589
13047.14 3138.559983 37.455884
13058.12 3044.766795 36.761956
13069.09 2691.369663 34.132636
13080.07 2663.192144 33.762821
13091.04 2730.227301 34.570289
13102.02 2667.967588 33.985292
13112.99 3015.408781 36.381044
13123.97 3479.658758 39.619655
13134.94 2796.604668 35.047666
13145.92 2723.652299 34.411079
13156.89 2678.195172 34.088561
13167.87 2676.867873 33.887098
13178.84 2668.897482 33.959911
13189.82 2653.595217 33.894679
13200.79 2663.430033 33.998181
13211.77 2642.765727 33.825932
13222.75 2695.829128 34.178907
13233.72 3312.917651 38.546721
13244.70 3452.291147 39.151176
13255.67 2780.866810 34.710961
13266.65 2654.878416 33.577789
13277.62 2603.814654 33.407798
13288.60 2663.568637 33.754964
13299.57 2701.272254 33.861218
13310.55 3502.359773 39.647438
13321.52 3040.333138 36.669144
13332.50 2684.998856 33.937146
13343.47 2621.294768 33.539785
13354.45 2647.217145 33.643315
13365.42 2637.765615 33.610245
13376.40 2599.004957 33.338764
13387.37 2701.296161 34.389704
13398.35 2654.820961 33.707865
13409.32 2643.917746 33.728775
13420.30 2619.052657 33.404182
13431.27 2894.770333 35.434589
13442.25 3036.650691 36.402672
13453.22 2764.927793 34.556829
13464.20 2649.983203 33.696053
13475.17 2652.226225 33.605018
13486.15 2675.351403 33.967030
13497.12 2807.377666 34.889339
13508.10 4165.003917 44.177610
13519.07 4020.230183 43.106068
13530.05 2848.604961 35.173497
13541.02 2657.157077 33.874781
13552.00 2664.341632 33.761857
13562.97 2646.036881 33.689496
13573.95 2607.584125 33.423592
13584.93 2637.288729 33.487508
13595.90 2658.605249 33.874609
13606.88 2581.331039 33.296772
13617.85 2627.010095 33.567890
13628.83 2703.494165 33.949583
13639.80 3695.039568 40.847055
13650.78 3283.069962 38.271601
13661.75 2687.041363 33.964968
13672.73 2632.149971 33.583201
13683.70 2611.471795 33.449445
13694.68 2639.431326 33.670887
13705.65 2694.136266 34.016329
13716.63 2733.864942 34.143105
13727.60 2725.629325 34.143095
13738.58 2600.784191 33.326361
13749.55 2611.485511 33.362470
13760.53 2641.924797 33.607209
13771.50 2634.681230 33.541927
13782.48 2607.588986 33.340739
13793.45 2613.777811 33.380596
13804.43 2592.806259 33.241637
13815.40 2592.201072 33.311584
13826.38 2679.782440 33.969942
13837.35 2690.106449 33.838631
13848.33 3241.044131 37.927087
13859.30 4766.752097 47.931833
13870.28 3279.846762 38.346395
13881.25 2743.438627 34.361255
13892.23 2644.729669 33.674782
13903.20 2622.267836 33.399904
13914.18 2650.427705 33.688037
13925.15 2672.027401 33.983047
13936.13 4357.082908 45.629112
13947.11 4629.486054 46.974209
13958.08 2979.144405 36.055878
13969.06 2634.515257 33.492698
13980.03 2593.179258 33.040132
13991.01 2569.185134 33.072816
14001.98 2565.064741 33.048005
14012.96 2563.663349 32.822051
14023.93 2550.643001 32.893186
14034.91 2485.042649 32.495110
14045.88 2595.976605 33.249260
14056.86 2584.450111 33.259190
14067.83 2596.324476 33.446836
14078.81 3552.777606 40.013686
14089.78 3780.355810 41.527705
14100.76 2772.920049 34.469416
14111.73 2553.316661 32.845355
14122.71 2555.727617 32.826739
