HRD Diffraction Histogram for 177-degree bank, RUN0000078
The original intensities and sigmas have been multiplied by 10000
TOF INT ERR
11214.29 2770.502370 37.076422
11225.27 2807.089423 37.467457
11236.24 2839.708883 37.967955
11247.22 2774.282146 37.186577
11258.19 2689.116886 36.333725
11269.17 2873.226764 37.650532
11280.14 2886.897246 37.814731
11291.12 2794.893683 37.304599
11302.09 2846.461774 37.822891
11313.07 3083.941061 39.613747
11324.04 3006.430007 38.670939
11335.02 2841.236407 37.422649
11345.99 2766.246422 36.838122
11356.97 2775.718558 37.018909
11367.94 2828.382090 37.418109
11378.92 2841.549938 37.336912
11389.90 2997.375551 38.680595
11400.87 3124.000642 39.733145
11411.85 2866.316760 37.476608
11422.82 2782.970873 37.075381
11433.80 2712.721918 35.941807
11444.77 2726.916153 36.474939
11455.75 2768.792955 36.893557
11466.72 2754.394746 36.621245
11477.70 2755.499146 36.865955
11488.67 2852.641062 37.076913
11499.65 2801.517876 36.750275
11510.62 2895.470575 37.646735
11521.60 3032.782818 38.738642
11532.57 2883.809870 37.355533
11543.55 2858.137129 37.268275
11554.52 2971.510338 38.073505
11565.50 3279.916470 40.186677
11576.47 3150.510009 39.469887
11587.45 2871.406035 37.289102
11598.42 2800.594710 36.667791
11609.40 2819.201475 36.899191
11620.37 2822.329070 36.651549
11631.35 2704.013625 35.590036
11642.32 2885.573987 36.948765
11653.30 2968.204204 37.784347
11664.27 2804.207805 36.901910
11675.25 2748.772181 35.980569
11686.22 2795.434015 36.340177
11697.20 2851.642205 36.605999
11708.17 2835.743235 36.409962
11719.15 2784.449597 36.250221
11730.12 2767.554301 36.129176
11741.10 2826.048315 36.601837
11752.08 2732.077335 35.630321
11763.05 2779.897372 36.226303
11774.03 2897.728307 36.921382
11785.00 3085.648328 38.103628
11795.98 2888.623100 36.834092
11806.95 2799.605700 36.219532
11817.93 2838.273856 36.716481
11828.90 3240.202426 39.585003
11839.88 3311.041097 39.803124
11850.85 2875.153454 36.722057
11861.83 2770.393904 35.869486
11872.80 2738.152648 35.641527
11883.78 2690.046217 34.826839
11894.75 2734.784582 35.208644
11905.73 2816.945741 36.474095
11916.70 3062.883637 38.184203
11927.68 3096.777229 38.233034
11938.65 2831.998570 36.257472
11949.63 2674.598882 34.972684
11960.60 2678.561943 34.803681
11971.58 2883.628867 36.262508
11982.55 2907.026937 36.484291
11993.53 2688.695327 34.813336
12004.50 2716.822125 35.373607
12015.48 2699.334158 35.039320
12026.45 2668.376543 34.763382
12037.43 2659.242506 34.366947
12048.40 2662.066913 34.463837
12059.38 2789.385083 35.684742
12070.35 2829.441870 35.922838
12081.33 2771.028350 35.531196
12092.30 2692.993173 34.880836
